"ExperimentName","Subject","Session","Clock.Information","DataFile.Basename","Display.RefreshRate","ExperimentVersion","Group","RandomSeed","RuntimeCapabilities","RuntimeVersion","RuntimeVersionExpected","SessionDate","SessionStartDateTimeUtc","SessionTime","StudioVersion","Block","Congruency","Distractor","DistractorGender","DistractorTransparency","Expirement","Expirement.Cycle","Expirement.Sample","Practice","Practice.Cycle","Practice.Sample","Procedure","Running","Target","Target.OnsetDelay","Target.OnsetTime","Target.OnsetToOnsetTime","Target.RT","Target.RTTime","TargetGender","Keep"
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",11,"i","ferrocarril","m","o",5,1,5,NA,NA,NA,"Proc","Expirement","escalera",1,78420,0,1046,79466,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",12,"i","yeso","m","t",6,1,6,NA,NA,NA,"Proc","Expirement","bufanda",1,82490,0,1045,83535,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",13,"c","arroz","m","o",7,1,7,NA,NA,NA,"Proc","Expirement","techo",1,86561,0,1152,87713,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",14,"c","juego","m","t",8,1,8,NA,NA,NA,"Proc","Expirement","espejo",1,90748,0,774,91522,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",15,"c","cielo","m","t",9,1,9,NA,NA,NA,"Proc","Expirement","hueso",1,94552,0,765,95317,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",16,"i","puente","m","o",10,1,10,NA,NA,NA,"Proc","Expirement","aguja",1,98339,0,1390,99729,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",17,"c","biblioteca","f","t",11,1,11,NA,NA,NA,"Proc","Expirement","mantequilla",1,102759,0,863,103622,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",18,"i","cuchillo","m","t",12,1,12,NA,NA,NA,"Proc","Expirement","iglesia",1,106646,0,731,107377,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",19,"i","golpe","m","o",13,1,13,NA,NA,NA,"Proc","Expirement","piedra",1,110400,0,966,111366,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",20,"i","noche","f","o",14,1,14,NA,NA,NA,"Proc","Expirement","molino",1,114387,0,1213,115600,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",21,"c","nube","f","o",15,1,15,NA,NA,NA,"Proc","Expirement","bañera",1,118624,0,1332,119956,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",22,"c","libro","m","t",16,1,16,NA,NA,NA,"Proc","Expirement","huevo",1,122995,0,658,123653,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",23,"i","pantalla","f","t",17,1,17,NA,NA,NA,"Proc","Expirement","columpio",1,126682,0,1100,127782,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",24,"c","césped","m","o",18,1,18,NA,NA,NA,"Proc","Expirement","nudo",0,130802,0,759,131561,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",25,"i","cabo","m","t",19,1,19,NA,NA,NA,"Proc","Expirement","lluvia",1,134589,0,763,135352,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",26,"c","cuarto","m","t",20,1,20,NA,NA,NA,"Proc","Expirement","fuego",1,138376,0,830,139206,"m",1
